Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2015,"12        ",Female,18,Right-Handed,150,21,146,3,Bus,"30 ",0.434,53,Bowling,1000,999,900,899,988,997,20,"Right foot",8,8,"Same length",June,Summer,Yes,No,Seafood,Water,Science,7,9,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",50,50,5,3,3,8,6,10,5,8,10,4,0,2,Some,"Some college",Pop,Fly,Healthy,"Musician or singer","International aid"
USA,MI,2015,"12        ",Female,17,Right-Handed,"5 ",20.5,55,1,Car,10,0.469,40,Tennis,904,743,781,813,524,1000,20,"Right foot",7,7,"Same length",October,Fall,No,No,Seafood,Water,History,6,8,3,"Yes - broadband connection","Text messaging",50,60,2,1,10,8,1,1,21,30,42,30,12,6,Some,"Graduate degree","Rhythm and blues (R&B)",Invisibility,Happy,Actor,"International aid"
USA,NC,2015,"12        ",Male,17,Right-Handed,182,37,186,1,Car,,.454,53,Walking/Hiking,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NH,2015,"12        ",Female,17,Left-Handed,175,23,187,1,Car,7,0.426,44,Baseball/Softball,59,540,401,551,947,1000,23,"Same length",102,102,"Same length",February,Fall,No,No,Desserts,Milk,Science,8,8,4,"Yes - broadband connection","Text messaging",3,9,12,1,18,20,6,0,10,6,18,20,0,2,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Religious
USA,CA,2015,"12        ",Female,17,Right-Handed,172,25,165,1,Car,7,.344,31,Dancing,600,750,850,250,850,975,25,"Same length",76,76,"Same length",October,Fall,Yes,No,Desserts,Water,English,6.5,9,3,"Yes - broadband connection","In person",66,64,15,3,24,12,10,0,3,7,3,4,0,3,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,"Education/Youth development"
USA,CA,2015,"12        ",Male,16,Right-Handed,188,29,193,2,Walk,15,.301,38,Other,800,600,700,1000,700,800,29,"Same length",75,80,"Ring finger",September,Winter,No,No,Pizza/Pasta,"Soft drink (non-caffeinated)","Mathematics and statistics",7,8,5,"Yes - broadband connection","Text messaging",10,10,12,0,2,6,1,20,6,4,42,3,0,4,Some,"Graduate degree","Heavy metal","Freeze time",Happy,Friend,"Education/Youth development"
USA,VA,2015,"12        ",Female,17,Right-Handed,177,22,163,1,Car,5,.3482,50,Athletics,1000,900,650,950,1000,400,21,"Right foot",70,70,"Same length",April,Summer,Yes,No,Pizza/Pasta,Water,English,7,9,4,"Yes - broadband connection","In person",80,500,10,1,25,1,25,0,10,8,1,15,10,1.5,"A lot","Graduate degree",Country,Invisibility,Happy,Relative,"Wildlife, animals"
USA,TX,2015,"12        ",Female,18,Left-Handed,,,,1,Car,15,0.346,40,"Martial Arts",1000,1000,1000,513,513,0,,"Same length",,,"Index finger",July,Fall,No,No,Pizza/Pasta,Juice,Science,9,,5,"Yes - broadband connection",,,,,,,,,,,,,,,,None,"High school","Rap/Hip hop",Fly,Happy,"Musician or singer",Other
USA,IN,2015,"12        ",Male,17,Right-Handed,175,28,182,1,Car,7,.29,41,"Football (American)",400,700,500,400,800,1000,29,"Left foot",70,90,"Ring finger",November,Summer,No,No,Meat,Water,"Physical education",8,10,3,"Yes - other","In person",150,175,10,,,,,,,,,,,,,,,,,,
USA,OR,2015,"12        ",Male,15,Right-Handed," 173",25,176,1,Walk,5,.447,49,"Martial Arts",1000,1000,1000,1000,100,1000,25,"Same length",87,85,"Index finger",March,Spring,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,9,3,"Yes - broadband connection","In person",0,0,2,1,30,7,6,15,2,0,14,0,0,2,"A lot","Graduate degree",Pop,Invisibility,Rich,Teacher,"International aid"
USA,DE,2015,"12        ",Male,17,Right-Handed,172.7,22,65,1,Car,40,1.07,41,"Hockey (Ice)",0,0,0,0,1000,1000,22,"Same length",76.2,76.2,"Same length",June,Summer,Yes,No,Meat,"Soft drink (caffeinated)","Social studies",7,10,6,"Yes - broadband connection","Text messaging",30,30,20,2,7,0,12,10,30,30,30,50,0,0,"Very little","Graduate degree","Rap/Hip hop","Super strength",Rich,Politician,"Arts, culture, sports"
USA,IL,2015,"12        ",Female,17,Right-Handed,156,23,147,2,Car,15,.354,31,None,500,500,500,500,600,1000,23,"Same length",80,90,"Ring finger",March,Fall,No,No,Desserts,"Soft drink (caffeinated)",Other,8,12,7,"Yes - broadband connection","Text messaging",90,100,5,10,10,12,0,0,12,16,14,8,16,5,Some,Other,Pop,Fly,Healthy,Relative,Health
USA,CA,2015,"12        ",Female,17,Right-Handed,,,,2,Car,15,,,Basketball,1000,1000,1000,1000,1000,1000,10,"Left foot",20,20,"Ring finger",October,Winter,No,No,"Rice/Noodle dishes",Water,History,7,7,11,"No internet connection","Text messaging",100,100,4,15,2,4,10,19,20,17,10,10,0,5,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"International aid"
USA,FL,2015,"12        ",Male,17,Right-Handed,182.5,27.5,183.3,2,Car,35,0.494,51,Tennis,500,250,750,750,500,500,26,"Right foot",101,106,"Ring finger",April,Summer,Yes,No,Seafood,Water,History,7,11,5,"Yes - broadband connection","Text messaging",30,30,7,0,10,5,15,1,1,1,5,2,0,5,"A lot","Graduate degree",Techno/Electronic,Fly,Happy,Relative,"Wildlife, animals"
USA,OR,2015,"12        ",Male,17,Right-Handed,188,28,186,1,Car,10,.345,51,Basketball,800,500,200,300,900,1000,27,"Right foot",10,11,"Ring finger",May,Winter,Yes,No,Pizza/Pasta,Juice,English,8,11,4,"Yes - broadband connection","Text messaging",75,2000,20,1,5,6,5,9,14,20,30,7,4,3,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Actor,"International aid"
USA,OH,2015,"12        ",Male,16,Right-Handed,194.5,29.5,194,1,Car,3,.351,49,Tennis,1000,1000,750,1000,1000,1000,29,"Right foot",94,88,"Index finger",June,Winter,Yes,No,Meat,Water,History,6,12,4,"Yes - broadband connection","Text messaging",250,255,5,.25,4,10,10,20,2,2,20,1,15,2,Some,"High school","Rap/Hip hop","Freeze time",Happy,Friend,Environment
USA,CA,2015,"12        ",Male,16,Right-Handed,170,165,165,3,Car,12,0.283,38,Skateboarding/Rollerblading,550,500,750,500,500,500,22,"Right foot",76,78,"Ring finger",October,Fall,No,No,Breads/Sandwiches,Juice,Other,8,8,6,"Yes - other","In person",0,0,8,0,2,3,2,4,1,0,4,0,0,0,Some,"Some college",Other,"Freeze time",Happy,Other,Environment
USA,NC,2015,"12        ",Male,17,Right-Handed,80,31,80,2,Car,10,.728,70,Dancing,700,600,700,900,400,500,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2015,"12        ",Male,17,Right-Handed,170,27.5,163,1,Car,30,.386,38,Soccer,600,500,600,550,450,400,27,"Right foot",75,80,"Index finger",July,Spring,No,No,Meat,Water,"Mathematics and statistics",7,8,4,"Yes - broadband connection","In person",39,39,10,1,10,6,8,0,.5,2,2,1,0,0,"A lot","Graduate degree",Other,Fly,Happy,"Musician or singer","Arts, culture, sports"
USA,CO,2015,"12        ",Male,17,Left-Handed,170,25.5,165,1,Bus,15,.869,63,Other,250,250,250,300,300,300,25,"Right foot",74,76,"Ring finger",February,Spring,No,No,Fruit,Water,Art,8,10,3,"Yes - broadband connection","In person",20,20,5,0,5,5,10,2,3,2,2,3,0,3,Some,"Graduate degree","Rock and roll",Fly,Rich,Relative,Health
USA,WA,2015,"12        ",Male,17,Right-Handed,200.6,30,200,2,Bus,10,.5,33,"Football (American)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IN,2015,"12        ",Female,17,Right-Handed,165,23.5,162,1,Car,5,.309,29,None,800,700,800,600,900,900,24,"Left foot",87,92,"Ring finger",September,Summer,No,No,Seafood,Water,History,7,10,4,"Yes - other","Text messaging",20,20,2,0,6,4,0,0,5,1,5,1,15,2,Some,"Undergraduate degree",Pop,Invisibility,Happy,"Musician or singer","Arts, culture, sports"
USA,MI,2015,"12        ",Female,17,Right-Handed,,25,,2,Bus,15,.559,37,Soccer,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NJ,2015,"12        ",Female,17,Right-Handed,167,25,203,2,Car,15,0.671,40,Soccer,700,700,700,700,600,600,25,"Same length",80,70,"Index finger",November,Summer,No,No,Poultry,Water,Science,8,10,4,"Yes - other","Cell phone",20,20,10,1,4,5,10,2,4,2,4,4,15,3,Some,"Graduate degree",Reggae,Invisibility,Healthy,"Coach or club leader","Wildlife, animals"
USA,NC,2015,"12        ",Female,17,Right-Handed,70,27,65,1,Car,8,".731 ",38,Other,900,900,900,900,500,500,26,"Right foot",116,116,"Same length",June,Fall,No,No,"No favorite",Water,"Mathematics and statistics",7,9,4,"Yes - broadband connection","Text messaging",50,70,20,1,10,40,6,0,0,2,1,2,5,1,Some,Other,"Rap/Hip hop","Freeze time",Happy,Friend,"Wildlife, animals"
USA,CT,2015,"12        ",Female,15,Left-Handed,156,23.5,158,1,Car,30,.395,37,Gymnastics,1000,1000,900,850,800,875,23,"Right foot",90,92,"Ring finger",April,Summer,Yes,No,Pizza/Pasta,Water,Art,8,9,4,"Yes - other","Text messaging",80,85,14,0,3,1,0,0,2,6,0,0,14,1,"A lot","Graduate degree",Country,Invisibility,Happy,Relative,Health
USA,MI,2015,"12        ",Male,17,Right-Handed,170,28,61,1,Car,7,0.285,40,Soccer,,,,,,,28,"Same length",76,28,"Same length",February,Summer,Yes,No,Meat,Water,Science,6,10,4,"Yes - broadband connection","Text messaging",50,150,12,1,10,5,4,4,0,7,10,0,0,5,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Religious figure",Religious
USA,MI,2015,"12        ",Female,17,Left-Handed,,,,1,Car,10,.288,35,Soccer,900,100,0,0,1000,1000,24,"Same length",75,70,"Index finger",March,Summer,No,No,Seafood,Coffee,Art,7,10,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,100,10,1,5,10,0,0,5,2,5,2,0,7,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Musician or singer","Wildlife, animals"
USA,CO,2015,"12        ",Female,17,Right-Handed,160,23.5,155,1,Car,10,.648,40,Tennis,700,650,350,800,500,700,23.5,"Same length",69,65,"Index finger",December,Fall,Yes,No,Fruit,Water,"Social studies",7,10,4,"Yes - broadband connection","Text messaging",0,0,10,1,10,30,10,0,5,3,15,12,0,5,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,CO,2015,"12        ",Female,17,Right-Handed,68,26,,2,Car,7,0.46,51,Walking/Hiking,1000,1000,1000,1000,200,8000,26,"Same length",80,80,"Same length",January,Fall,Yes,No,"Rice/Noodle dishes",Water,English,8,8,5,"Yes - other","In person",5,6,10,5,5,7,5,0,2,2,6,1,35,5,Some,"Some college","Rock and roll",Fly,Happy,"Musician or singer","Wildlife, animals"
USA,VA,2015,"12        ",Male,16,Right-Handed,170,30,167,1,Bus,11,.3084,40.66,Other,500,400,300,200,100,100,29,"Right foot",70,67,"Index finger",September,Fall,Yes,No,Meat,Water,Music,7,10,5,"Yes - broadband connection","In person",100,100,40,3,8,4,15,4,1,2,6,3,8,8,"A lot","Graduate degree",Jazz,Fly,Happy,Relative,"International aid"
USA,CO,2015,"12        ",Female,17,Right-Handed,169,23,169.5,1,Car,7,.433,33,None,300,200,200,200,800,600,23,"Same length",75,69,"Index finger",October,Fall,Yes,No,Meat,Water,Music,6,11,4,"Yes - broadband connection",Other,150,250,40,.5,5,20,7,10,65,48,21,7,0,0,Some,"Undergraduate degree","Punk rock",Telepathy,Happy,"Musician or singer",Other
USA,CA,2015,"12        ",Female,16,Right-Handed,155,20,155,2,Car,10,.510,44,Other,898,898,882,861,455,545,20,"Same length",,,"Ring finger",February,Fall,No,No,Meat,Milk,,7,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MI,2015,"12        ",Female,17,Right-Handed,170,24.5,165,1,Bus,25,0.361,31,Soccer,0,1000,900,0,200,1000,24.5,"Right foot",75,75,"Same length",August,Fall,No,No,Pizza/Pasta,Water,English,5,8,4,"Yes - broadband connection","Text messaging",100,100,10,1,3,3,5,0,20,20,5,1,16,2,"Very little","Undergraduate degree",Other,Telepathy,Happy,Friend,"Wildlife, animals"
USA,CT,2015,"12        ",Male,19,Right-Handed,183,,189,2,Bus,15,0.222,39,None,200,200,500,500,500,200,,,,,,February,Summer,No,No,Pizza/Pasta,Water,History,6,4,4,"Yes - broadband connection","Text messaging",2,2,4,0,4,7,0,6,0,1,10,0,0,0,"A lot","Undergraduate degree","Punk rock","Freeze time",Happy,Other,Other
USA,OH,2015,"12        ",Female,20,Right-Handed,160,20,122,1,Walk,10,.424,34,Tennis,500,800,900,400,600,700,20,"Same length",50,50,"Same length",June,Fall,Yes,Yes,Seafood,Water,English,6,5,6,"Yes - broadband connection","Cell phone",100,100,50,2,6,50,5,0,4,4,4,3,90,10,Some,"Undergraduate degree","Rap/Hip hop",Fly,Healthy,Relative,"Education/Youth development"
USA,CT,2015,"12        ",Female,16,Right-Handed,171,,179,1,Walk,20,0.375,42,Basketball,900,1000,800,800,1000,1000,,,,,,October,Fall,No,No,Meat,Juice,"Mathematics and statistics",8,4,7,"Yes - broadband connection","Text messaging",127,,10,16,5,3,6,0,11,24,13,5,0,2,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Musician or singer","Education/Youth development"
USA,MA,2015,"12        ",Female,17,Right-Handed,175,21,163,2,Walk,7,0.9,37,Dancing,551,663,471,540,460,455,23,"Left foot",80,65,"Index finger",October,Fall,No,No,Salads,Water,English,9,9,3,"Yes - broadband connection","In person",6,7,8,1,15,10,0,0,2,30,19,0,0,0,"A lot","Undergraduate degree",Other,Fly,Happy,Relative,"Arts, culture, sports"
USA,AL,2015,"12        ",Female,17,Right-Handed,176.7,29,147.6,1,Car,15,.775,39,Other,,,,,,,27,"Right foot",65,67,"Ring finger",April,Winter,Yes,No,Meat,Tea,Other,7,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,49,0,5,9,1,2,9,4,21,7,0,3,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,Other,"Wildlife, animals"
USA,TX,2015,"12        ",Female,17,Right-Handed,167.6,,,1,Walk,5,.957,50,Other,449,299,449,818,59,925,,,,,"Ring finger",September,Fall,No,No,Desserts,Juice,Art,6,6,4,"Yes - broadband connection","Text messaging",30,40,3,1,6,2,14,0,5,5,34,3,4,3,"A lot","Undergraduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Relative,"Arts, culture, sports"
USA,MO,2015,"12        ",Female,17,Right-Handed,170,23,182,1,Car,15,0.42,40,Swimming,900,1000,1000,37,1000,1000,22,"Right foot",80,65,"Index finger",September,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection",,100,89,9,1,4,5,7,0,2,1,7,9,10,4,Some,"Graduate degree",Pop,Fly,Happy,"Doctor or nurse",Environment
USA,TX,2015,"12        ",Female,17,Right-Handed,160,23,160,1,Car,10,.42,.53,None,800,900,1000,500,900,1000,20,"Right foot",75,73,"Ring finger",April,Fall,No,No,Pizza/Pasta,Water,English,8,7,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",15,20,15,3,12,24,0,0,48,5,50,20,5,3,"A lot","Graduate degree",Pop,Telepathy,Rich,"Musician or singer",Health
USA,CA,2015,"12        ",Female,17,Left-Handed,166.5,25,165,2,Car,10,.416,40,Bowling,759,652,727,513,1000,1000,24,"Right foot",6.7,7.0,"Ring finger",January,Winter,Yes,No,Pizza/Pasta,Water,Other,6,7,4,"Yes - other","Internet chat or instant messaging",2,0,10,2,18,20,0,0,10,10,20,12,0,2,"A lot","Some college","Rhythm and blues (R&B)","Freeze time",Rich,Relative,"Wildlife, animals"
USA,VA,2015,"12        ",Male,18,Right-Handed,165,26,169,3,Bus,15,,,Soccer,,,,,,,26,"Right foot",6,7,"Ring finger",,Fall,No,No,Seafood,Water,Art,8,4,4,"Yes - dial-up connection","Text messaging",200,200,2,1,1,1,2,1,1,3,2,3,0,3,Some,"High school","Rap/Hip hop",Telepathy,Happy,Actor,Health
USA,UT,2015,"12        ",Female,17,Right-Handed,4,3,5,2,Car,5,0.05,60,Soccer,89,80,75,90,5,1,5,"Left foot",3,9,"Same length",November,Fall,Yes,No,Meat,Water,"Social studies",5,7,3,"Yes - broadband connection","Text messaging",100,365,0,1,2,0,0,0,1,4,2,0,5,1,Some,,,,,,
USA,CA,2015,"12        ",Male,17,Right-Handed,172.7,29,176,1,Car,30,3.27,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2015,"12        ",Female,16,Right-Handed,51,23,,1,Walk,15,0.748,57,Dancing,1000,1000,1000,1000,0,1000,23,"Same length",70,70,"Same length",December,Winter,Yes,No,Other,Water,Other,8,6,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",55,65,8,0,2,9,1,0,4,0,4,1,0,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Healthy,Relative,"Wildlife, animals"
USA,CA,2015,"12        ",Male,17,Ambidextrous,66.12,24,171.4,1,Bicycle,13,.286,48,Dancing,1000,900,800,700,900,1000,23,"Right foot",65,60,"Index finger",January,Winter,Yes,No,Seafood,Water,"Computers and technology",5,4,3,"Yes - other","Internet chat or instant messaging",0,0,8,.5,6,3,1,24,0,0,14,3,0,2,Some,"Graduate degree",Techno/Electronic,"Freeze time",Rich,Friend,"International aid"
USA,NC,2015,"12        ",Female,17,Right-Handed,160,22,157,2,Other,5,.372,31,None,963,856,989,904,636,824,22,"Right foot",71,73,"Ring finger",April,Spring,Yes,No,Fruit,Juice,History,6,10,4,"Yes - broadband connection","In person",17,22,40,0,30,40,0,90,20,20,100,10,0,25,"A lot","Undergraduate degree",Other,Fly,Happy,Relative,"Arts, culture, sports"
USA,VA,2015,"12        ",Male,17,Left-Handed,173,26.5,179,2,Car,15,.398,41,Soccer,500,500,500,500,750,750,25,"Right foot",79,87,"Ring finger",February,Summer,No,No,Meat,"Sports drink",History,7,8,4,"Yes - broadband connection","In person",150,150,10,5,10,20,50,0,0,2,2,1,0,5,"A lot","Undergraduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","Education/Youth development"
USA,NH,2015,"12        ",Female,18,Right-Handed,66,23,167,2,Car,10,.404,47,Walking/Hiking,765,845,690,652,973,999,23,"Same length",90,91,"Ring finger",July,Fall,No,No,"Rice/Noodle dishes",Tea,Other,6,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",52,40,5,1,18,30,0,6,45,10,60,3,17,1,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,"International aid"
USA,IA,2015,"12        ",Male,17,Left-Handed,510,"12 ",510,1,Car,5,0.727,48,Golf,900,800,700,750,500,400,12,"Same length",99,10,"Index finger",December,Summer,No,No,Pizza/Pasta,Milk,Other,8,9,4,"Yes - other","Text messaging",9,7,4,1,5,30,3,8,7,2,5,3,20,4,Some,"Graduate degree",Pop,Fly,Rich,"Doctor or nurse",Health
USA,FL,2015,"12        ",Male,17,Ambidextrous,173,24,168,"1 ",Car,40,.395,51,Soccer,1000,500,1000,1000,5,5,24,"Same length",8.9,8.7,"Index finger",March,Summer,No,No,Meat,Water,English,8,,2,"Yes - broadband connection","Text messaging",75,120,5,1,10,2,14,0,4,5,4,3,1,2,Some,"Graduate degree",Country,Fly,Happy,Other,"International aid"
USA,PA,2015,"12        ",Male,18,Right-Handed,171,24.6,158.1,1,Car,10,.336,56,Other,300,100,600,700,1000,1000,24.4,"Right foot",7.2,7.6,"Ring finger",September,Summer,Yes,No,Meat,Tea,History,5.5,9,5,"Yes - broadband connection","In person",20,24,5,".25 ",14,14,7,5,2,1,15,7,8,2,Some,"Graduate degree","Rock and roll",Fly,Happy,Relative,Health
USA,NC,2015,"12        ",Male,17,Right-Handed,175,26,157,1,Other,3,.309,47,Running/Jogging,666,766,777,455,788,988,25,"Right foot",92,100,"Ring finger",February,Winter,Yes,No,"Rice/Noodle dishes",Water,Science,5,12,4,"Yes - other","Internet chat or instant messaging",40,140,40,0,10,0,12,0,.5,5,5,0,0,10,"A lot","Graduate degree",Pop,Fly,Happy,"Community leader or elder",Environment
USA,MA,2015,"12        ",Male,18,Right-Handed,183,29,180,1,Walk,5,.328,42,Baseball/Softball,250,800,400,500,500,600,29,"Same length",8,9,"Ring finger",August,Summer,Yes,No,Seafood,Water,English,7,10,5,"Yes - broadband connection","Text messaging",100,100,11,2,7,6,12,1,3,4,4,2,0,2,Some,"Graduate degree",Country,Fly,Happy,"Sports person",Health
USA,PA,2015,"12        ",Female,18,Right-Handed,167.6,23,171,1,Bus,30,.463,55,"Martial Arts",900,900,500,500,800,1000,22,"Right foot",8,6.5,"Index finger",January,Spring,No,No,Meat,Juice,Art,6,12,7,"Yes - broadband connection","Text messaging",200,201,4,3,1,7,4,0,8,10,10,12,24,3,Some,"Some college",Pop,Telepathy,Happy,"Coach or club leader",Health
USA,CA,2015,"12        ",Female,17,Left-Handed,165,22,166,3,Walk,15,0.445,32,Walking/Hiking,1000,1000,1000,1000,990,990,23,"Left foot",80,80,"Same length",February,Spring,Yes,No,"Rice/Noodle dishes",Juice,Science,5,9,5,"Yes - other","Text messaging",45,45,5,1,20,7,1,1,9,9,12,3,0,7,"A lot","Graduate degree",Pop,"Freeze time",Happy,Relative,"International aid"
USA,CO,2015,"12        ",Female,17,Right-Handed,194,,194,1,Car,20,1.131,76,Soccer,800,800,800,800,500,500,,"Right foot",,,,March,Fall,No,No,Seafood,Water,Art,7,8,5,"Yes - broadband connection","Cell phone",10,50,35,2,1,10,8,0,2,1,40,12,5,1,Some,"Some college",Country,Invisibility,Happy,Relative,Environment
USA,OK,2015,"12        ",Male,17,Ambidextrous,183,28,183,,,15,,,,,,,,,,28,,8,26,,,,,,,,,4,12,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"12        ",Male,17,Right-Handed,176,27,175,2,"Rail (Train/Tram/Subway)",45,.345,35,Swimming,700,670,710,730,500,700,28,"Left foot",105,110,"Ring finger",June,Fall,Yes,No,Salads,Water,"Computers and technology",7,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,50,10,0,2,4,1,6,1,6,6,0,0,4,"Very little","Undergraduate degree",Classical,"Freeze time",Happy,"Musician or singer","Arts, culture, sports"
USA,CA,2015,"12        ",Female,17,Right-Handed,161.1,22,164,1,Car,10,.761,47,Other,600,500,750,600,800,800,22.5,"Left foot",80,72,"Index finger",January,Winter,No,No,Pizza/Pasta,Water,"Physical education",6.5,9,5,"Yes - other","Text messaging",20,15,1,.5,15,3,5,0,8,3,2,0,0,3,"A lot","Graduate degree",Pop,Fly,Happy,Relative,"International aid"
USA,CA,2015,"12        ",Male,17,Left-Handed,162.5,22.86,168.9,2,Bus,20,0.442,48,Basketball,500,500,500,500,500,1000,22.86,"Same length",69.85,69.85,"Ring finger",February,Summer,Yes,No,Meat,Water,Other,6,12,4,"Yes - other","Text messaging",100,100,21,0,0,30,10,5,1,0,2,0,4,2,"A lot","Graduate degree",Other,Invisibility,Happy,Other,Health
USA,IN,2015,"12        ",Male,17,Right-Handed,70,29,165,1,Bus,15,.349,40,Basketball,200,200,200,200,500,1000,28,"Right foot",10,10,"Same length",September,Summer,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",English,6,9,4,"Yes - other","Text messaging",250,250,114,3,5,100,5,45,114,114,114,100,0,3,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,"Education/Youth development"
USA,TX,2015,"12        ",Male,16,Right-Handed,168,75,160,2,Car,10,0.315,40,Basketball,1000,1000,888,930,380,701,75,"Same length",70,75,"Ring finger",September,Fall,Yes,No,Poultry,Water,Science,8,10,4,"Yes - broadband connection","In person",10,30,10,0,8,5,10,4,0,1,4,5,5,5,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Other,"International aid"
USA,NJ,2015,"12        ",Male,17,Right-Handed,160,26,127,1,Car,30,,.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NJ,2015,"12        ",Male,17,Right-Handed,180,28,182,1,Car,5,.36,40,Swimming,800,800,800,800,1000,10001,30,"Right foot",50,49,"Index finger",November,Spring,Yes,No,Meat,Water,History,7,12,2,"Yes - broadband connection","Text messaging",50,50,30,2,3,12,2,3,4,6,8,2,0,0,"A lot","Undergraduate degree",Country,Invisibility,Rich,Politician,Health
USA,OR,2015,"12        ",Male,17,Right-Handed,74,27,173,1,Car,12,.218,30,Walking/Hiking,1000,1000,900,950,1000,1000,26,"Right foot",99,100,"Ring finger",September,Fall,No,No,"Rice/Noodle dishes",Water,Music,6,8,4,"Yes - broadband connection","Internet chat or instant messaging",2,2,2,0,4,2,1,4,0,0,4,1,0,1,Some,"Graduate degree",Classical,Fly,Rich,Friend,Environment
USA,CO,2015,"12        ",Female,17,Ambidextrous,177.8,24,168.5,2,Car,5,.408,55,Soccer,900,600,700,950,500,500,,,,,,June,Winter,No,No,Meat,Water,History,5,7,6,"Yes - broadband connection","In person",,,,,,,,,,,,,,,"A lot","Graduate degree","Rock and roll",Telepathy,Healthy,Politician,Environment
USA,VA,2015,"12        ",Female,17,Right-Handed,164.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,PA,2015,"12        ",Female,17,Right-Handed,157.4,25,152.4,1,Car,"3 ",.302,33,Basketball,650,610,800,717,642,754,24,"Right foot",8,6.5,"Index finger",October,Summer,Yes,No,"Rice/Noodle dishes",Water,Art,6,8,4,"Yes - other","In person",100,100,50,.25,2,4,1,0,3,2,3,2,16,2,Some,Other,"Rap/Hip hop",Invisibility,Happy,Other,Health
USA,MN,2015,"12        ",Male,17,Left-Handed,155,30,5,1,Car,30,.42,57,"Hockey (Ice)",500,500,600,650,750,800,30,"Same length",40,30,"Ring finger",August,Summer,No,No,Poultry,"Soft drink (caffeinated)",Other,7,8,4,"Yes - broadband connection","Text messaging",1,5,5,1,1,3,1,2,.5,.1,5,3,28,0,"Very little","Graduate degree",Country,Invisibility,Rich,Relative,"Wildlife, animals"
